"Parameter","Median","Min","Max","pd","Lag","Model"
"h2_h3_h6",0.12767680923381,-0.688452585604607,0.914883572505737,0.569377990430622,0,"tvINGARCHX"
"h7",-0.141177013585137,-0.631240568841611,1.80825521881161,0.655502392344498,0,"tvINGARCHX"
"sigma2lat",5.45330795790888,5.45330795790888,5.45330795790888,1,1,"tvINGARCHX"
"mut",0.583177331299053,0.129672200683889,1.00420697808836,1,1,"tvINGARCHX"
"At",0.516469631213004,0.189704249173885,0.788044141725137,1,1,"tvINGARCHX"
"Bt",0.311971941448909,-0.00190209270731722,0.592081499684107,0.983213429256595,1,"tvINGARCHX"
"c1_c2",0.0110558515863571,-0.108784198535198,1.56097186373725,0.520383693045564,1,"tvINGARCHX"
"c3_c4",-0.0206448159711127,-1.39663507894629,1.21055341154137,0.515587529976019,1,"tvINGARCHX"
"c5_c6_c7",0.523676811702026,-1.06242192796506,1.4366488381825,0.925659472422062,1,"tvINGARCHX"
"c8",0.660328052813023,-0.342658844470398,0.96847102471926,0.949640287769784,1,"tvINGARCHX"
"h2_h3_h6",0.135333715109238,-0.69026873842175,0.911515799638995,0.570743405275779,1,"tvINGARCHX"
"h7",-0.130452946307788,-0.597009499474776,1.81657804480705,0.652278177458034,1,"tvINGARCHX"
"sigma2lat",-31.7885497875138,-31.7885497875138,-31.7885497875138,1,7,"tvINGARCHX"
"mut",0.0801868507457658,-0.480068555098418,1.06763503015018,0.537712895377129,7,"tvINGARCHX"
"At",0.844104270259949,0.477264957886661,0.922338232666217,1,7,"tvINGARCHX"
"Bt",0.0434195364213995,-0.153189729518898,0.288361938875056,0.581508515815085,7,"tvINGARCHX"
"c1_c2",0.175549470907061,0.052919838211337,1.34165305134888,1,7,"tvINGARCHX"
"c3_c4",0.0519294493470074,-1.51041697521102,1.02378650099376,0.535279805352798,7,"tvINGARCHX"
"c5_c6_c7",0.49611360680833,-1.37496101129703,1.5178063367634,0.907542579075426,7,"tvINGARCHX"
"c8",0.677804066230782,-0.384891944633708,0.976598627696976,0.934306569343066,7,"tvINGARCHX"
