"Country","Date","Number","c1_c2","c3_c4","c5_c6_c7","c8","h2_h3_h6","h7"
"United States","2020-08-16",55359,0,1,1,1,1,0
"United States","2020-08-17",54375,0,1,1,1,1,0
"United States","2020-08-18",41073,0,1,1,1,1,0
"United States","2020-08-19",39125,0,1,1,1,1,0
"United States","2020-08-20",37908,0,1,1,1,1,0
"United States","2020-08-21",46259,0,1,1,1,1,0
"United States","2020-08-22",43952,0,1,1,1,1,0
"United States","2020-08-23",45960,0,1,1,1,1,0
"United States","2020-08-24",44946,0,1,1,1,1,0
"United States","2020-08-25",37765,0,1,1,1,1,0
"United States","2020-08-26",32883,0,1,1,1,1,0
"United States","2020-08-27",37030,0,1,1,1,1,0
"United States","2020-08-28",45484,0,1,1,1,1,0
"United States","2020-08-29",46194,0,1,1,1,1,0
"United States","2020-08-30",44002,0,1,1,1,1,0
"United States","2020-08-31",43983,0,1,1,1,1,0
"United States","2020-09-01",37068,0,1,1,1,1,0
"United States","2020-09-02",31808,0,1,1,1,1,0
"United States","2020-09-03",42662,0,1,1,1,1,0
"United States","2020-09-04",39402,0,1,1,1,1,0
"United States","2020-09-05",44563,0,1,1,1,1,0
"United States","2020-09-06",49131,0,1,1,1,1,0
"United States","2020-09-07",45350,0,1,1,1,1,0
"United States","2020-09-08",33486,0,1,1,1,1,0
"United States","2020-09-09",26015,0,1,1,1,1,0
"United States","2020-09-10",23204,0,1,1,1,1,0
"United States","2020-09-11",31988,0,1,1,1,1,0
"United States","2020-09-12",37128,0,1,1,1,1,0
"United States","2020-09-13",45523,0,1,1,1,1,0
"United States","2020-09-14",40126,0,1,1,1,1,0
"United States","2020-09-15",35177,0,1,1,1,1,0
"United States","2020-09-16",34111,0,1,1,1,1,0
"United States","2020-09-17",34078,0,1,1,1,1,0
"United States","2020-09-18",40795,0,1,1,1,1,0
"United States","2020-09-19",42618,0,1,1,1,1,0
"United States","2020-09-20",48266,0,1,1,1,1,0
"United States","2020-09-21",41695,0,1,1,1,1,0
"United States","2020-09-22",36766,0,1,1,1,1,0
"United States","2020-09-23",39145,0,1,1,1,1,0
"United States","2020-09-24",49176,0,1,1,1,1,0
"United States","2020-09-25",40043,0,1,1,1,1,0
"United States","2020-09-26",41254,0,1,1,1,1,0
"United States","2020-09-27",50070,0,1,1,1,1,0
"United States","2020-09-28",48958,0,1,1,1,1,0
"United States","2020-09-29",35217,0,1,1,1,1,0
"United States","2020-09-30",32688,0,1,1,1,1,0
"United States","2020-10-01",38476,0,1,1,1,1,0
"United States","2020-10-02",44985,0,1,1,1,1,0
"United States","2020-10-03",46293,0,1,1,1,1,0
"United States","2020-10-04",49465,0,1,1,1,1,0
"United States","2020-10-05",49036,0,1,1,1,1,0
"United States","2020-10-06",36136,0,1,1,1,1,0
"United States","2020-10-07",38920,0,1,1,1,1,0
"United States","2020-10-08",38904,0,1,1,1,1,0
"United States","2020-10-09",52458,0,1,1,1,1,0
"United States","2020-10-10",54232,0,1,1,1,1,0
"United States","2020-10-11",57828,0,1,1,1,1,0
"United States","2020-10-12",53055,0,1,1,1,1,0
"United States","2020-10-13",45325,0,1,1,1,1,0
"United States","2020-10-14",46308,0,1,1,1,1,0
"United States","2020-10-15",46309,0,1,1,1,1,0
"United States","2020-10-16",59106,0,1,1,1,1,0
"United States","2020-10-17",63044,0,1,1,1,1,0
"United States","2020-10-18",69834,0,1,1,1,1,0
"United States","2020-10-19",52508,0,1,1,1,1,0
"United States","2020-10-20",46378,0,1,1,1,1,0
"United States","2020-10-21",59018,0,1,1,1,1,0
"United States","2020-10-22",60155,0,1,1,1,1,0
"United States","2020-10-23",63361,0,1,1,1,1,0
"United States","2020-10-24",72342,0,1,1,1,1,0
"United States","2020-10-25",82630,0,1,1,1,1,0
"United States","2020-10-26",82626,0,1,1,1,1,0
"United States","2020-10-27",62364,0,1,1,1,1,0
"United States","2020-10-28",63145,0,1,1,1,1,0
"United States","2020-10-29",72042,0,1,1,1,1,0
"United States","2020-10-30",80384,0,1,1,1,1,0
"United States","2020-10-31",89048,0,1,1,1,1,0
"United States","2020-11-01",99356,0,1,1,1,1,0
"United States","2020-11-02",80379,0,1,1,1,1,0
"United States","2020-11-03",75888,0,1,1,1,1,0
"United States","2020-11-04",85412,0,1,1,1,1,0
"United States","2020-11-05",88163,0,1,1,1,1,0
"United States","2020-11-06",106050,0,1,1,1,1,0
"United States","2020-11-07",116780,0,1,1,1,1,0
"United States","2020-11-08",131821,0,1,1,1,1,0
"United States","2020-11-09",127151,0,1,1,1,1,0
"United States","2020-11-10",104659,0,1,1,1,1,0
"United States","2020-11-11",122231,0,1,1,1,1,0
"United States","2020-11-12",133935,0,1,1,1,1,0
"United States","2020-11-13",142076,0,1,1,1,1,0
"United States","2020-11-14",193734,0,1,1,1,1,0
"United States","2020-11-15",181066,0,1,1,1,1,0
"United States","2020-11-16",155001,1,1,1,1,1,0
"United States","2020-11-17",137486,1,1,1,1,1,0
"United States","2020-11-18",151266,1,1,1,1,1,0
"United States","2020-11-19",164044,1,1,1,1,1,0
"United States","2020-11-20",164560,1,1,1,1,1,0
"United States","2020-11-21",184191,1,1,1,1,1,0
"United States","2020-11-22",191033,1,1,1,1,1,0
"United States","2020-11-23",183544,1,1,1,1,1,0
"United States","2020-11-24",147098,1,1,1,1,1,0
"United States","2020-11-25",157180,1,1,1,1,1,0
"United States","2020-11-26",165091,1,1,1,1,1,0
"United States","2020-11-27",180850,1,1,1,1,1,0
"United States","2020-11-28",141222,1,1,1,1,1,0
"United States","2020-11-29",175669,1,1,1,1,1,0
"United States","2020-11-30",143211,1,1,1,1,1,0
"United States","2020-12-01",151674,1,1,1,1,1,0
"United States","2020-12-02",151204,0,1,1,1,1,0
"United States","2020-12-03",177976,0,1,1,1,1,0
"United States","2020-12-04",195769,0,1,1,1,1,0
"United States","2020-12-05",218671,0,1,1,1,1,0
"United States","2020-12-06",213127,0,1,1,1,1,0
"United States","2020-12-07",205837,0,1,1,1,1,0
"United States","2020-12-08",173388,0,1,1,1,1,0
"United States","2020-12-09",185473,0,1,1,1,1,0
"United States","2020-12-10",216360,0,1,1,1,1,0
"United States","2020-12-11",230852,0,1,1,1,1,0
"United States","2020-12-12",201681,0,1,1,1,1,0
"United States","2020-12-13",243209,0,1,1,1,1,0
"United States","2020-12-14",212577,0,1,1,1,1,0
"United States","2020-12-15",180420,0,1,1,1,1,0
"United States","2020-12-16",204281,0,1,1,1,1,0
"United States","2020-12-17",201468,0,1,1,1,1,0
"United States","2020-12-18",235805,0,1,1,1,1,0
"United States","2020-12-19",229915,0,1,1,1,1,0
"United States","2020-12-20",402270,0,1,1,1,1,0
"United States","2020-12-21",200257,0,1,1,1,1,0
"United States","2020-12-22",197199,0,1,1,1,1,0
"United States","2020-12-23",182819,0,1,1,1,1,0
"United States","2020-12-24",195151,0,1,1,1,1,0
"United States","2020-12-25",221145,0,1,1,1,1,0
"United States","2020-12-26",192095,0,1,1,1,1,0
"United States","2020-12-27",145489,0,1,1,1,1,0
"United States","2020-12-28",178311,0,1,1,1,1,0
"United States","2020-12-29",145513,0,1,1,1,1,0
"United States","2020-12-30",174814,0,1,1,1,1,0
"United States","2020-12-31",199163,0,1,1,1,1,0
"United States","2021-01-01",231427,0,1,1,1,1,0
"United States","2021-01-02",228437,0,1,1,1,1,0
"United States","2021-01-03",167759,0,1,1,1,1,0
"United States","2021-01-04",284312,0,1,1,1,1,0
"United States","2021-01-05",211444,0,1,1,1,1,0
"United States","2021-01-06",173375,0,1,1,1,1,0
"United States","2021-01-07",227369,0,1,1,1,1,0
"United States","2021-01-08",299562,0,1,1,1,1,0
"United States","2021-01-09",277195,0,1,1,1,1,0
"United States","2021-01-10",313516,0,1,1,1,1,0
"United States","2021-01-11",248089,0,1,1,1,1,0
"United States","2021-01-12",220528,0,1,1,1,1,0
"United States","2021-01-13",198788,0,1,1,1,1,0
"United States","2021-01-14",217166,0,1,1,1,1,0
"United States","2021-01-15",225573,0,1,1,1,1,0
"United States","2021-01-16",226608,0,1,1,1,1,0
"United States","2021-01-17",246485,0,1,1,1,1,0
"United States","2021-01-18",212253,0,1,1,1,1,0
"United States","2021-01-19",185383,0,1,1,1,1,0
"United States","2021-01-20",142240,0,1,1,1,1,0
"United States","2021-01-21",152937,0,1,1,1,1,0
"United States","2021-01-22",187919,0,1,1,1,1,0
"United States","2021-01-23",188176,0,1,1,1,1,0
"United States","2021-01-24",190994,0,1,1,1,1,0
"United States","2021-01-25",170883,0,1,1,1,1,0
"United States","2021-01-26",141691,0,1,1,1,1,0
"United States","2021-01-27",133409,0,1,1,1,1,0
"United States","2021-01-28",148533,0,1,1,1,1,0
"United States","2021-01-29",155203,0,1,1,1,1,0
"United States","2021-01-30",158153,0,1,1,1,1,0
"United States","2021-01-31",164415,0,1,1,1,1,0
"United States","2021-02-01",141327,0,1,1,1,1,0
"United States","2021-02-02",112129,0,1,1,1,1,0
"United States","2021-02-03",125444,0,1,1,1,1,0
"United States","2021-02-04",116762,0,1,1,1,1,0
"United States","2021-02-05",120876,0,1,1,1,1,0
"United States","2021-02-06",124866,0,1,1,1,1,0
"United States","2021-02-07",129961,0,1,1,1,1,0
"United States","2021-02-08",106988,0,1,1,1,1,0
"United States","2021-02-09",91412,0,1,1,1,1,0
"United States","2021-02-10",86449,0,1,1,1,1,0
"United States","2021-02-11",90930,0,1,1,1,1,0
"United States","2021-02-12",97134,0,1,1,1,1,0
"United States","2021-02-13",101693,0,1,1,1,1,0
"United States","2021-02-14",99024,0,1,1,1,1,0
"United States","2021-02-15",87896,0,1,1,1,1,0
"United States","2021-02-16",28313,0,1,1,1,1,0
"United States","2021-02-17",95902,0,1,1,1,1,0
"United States","2021-02-18",57856,0,1,1,1,1,0
"United States","2021-02-19",69069,0,1,1,1,1,0
"United States","2021-02-20",68191,0,1,1,1,1,0
"United States","2021-02-21",73240,0,1,1,1,1,0
"United States","2021-02-22",70973,0,1,1,1,1,0
"United States","2021-02-23",55323,0,1,1,1,1,0
"United States","2021-02-24",55190,0,1,1,1,1,0
"United States","2021-02-25",71778,0,1,1,1,1,0
"United States","2021-02-26",73477,0,1,1,1,1,0
"United States","2021-02-27",73351,0,1,1,1,1,1
"United States","2021-02-28",72812,0,1,1,1,1,1
"United States","2021-03-01",69613,0,1,1,1,1,1
"United States","2021-03-02",50218,0,1,1,1,1,1
"United States","2021-03-03",50776,0,1,1,1,1,1
"United States","2021-03-04",57831,0,1,1,1,1,1
"United States","2021-03-05",65320,0,1,1,1,1,1
"United States","2021-03-06",66262,0,1,1,1,1,1
"United States","2021-03-07",67213,0,1,1,1,1,1
"United States","2021-03-08",57269,0,1,1,1,1,1
"United States","2021-03-09",41486,0,1,1,1,1,1
"United States","2021-03-10",126229,0,1,1,1,1,1
"United States","2021-03-11",52732,0,1,1,1,1,1
"United States","2021-03-12",60322,0,1,1,1,1,1
"United States","2021-03-13",60312,0,1,1,1,1,1
"United States","2021-03-14",62840,0,1,1,1,1,1
"United States","2021-03-15",52261,0,1,1,1,1,1
